"[""We'll Never Have Paris""]","0.187581","0.214117","0.235439","0.31722","0.22673","0.0","0.978","0.0","0.038","0.056","0.755","0.779","0.951"
"['Black or White']","0.295769","0.372079","0.017987","0.038862","0.29281","0.0","0.0","0.962","0.075","0.008","0.771","0.405","0.978"
"['Project Almanac']","0.322503","0.375171","0.128768","0.19149","0.230986","0.0","0.0","0.149","0.566","0.367","0.376","0.09","0.703"
"['Wild Card']","0.106146","0.270573","0.405855","0.240766","0.227485","0.0","0.0","0.0","0.648","0.964","0.005","0.079","0.113"
"['Enter the Dangerous Mind']","0.192977","0.310744","0.516717","0.137303","0.250695","0.0","0.0","0.0","0.365","0.043","0.044","0.01","0.909"
"['Jupiter Ascending']","0.540584","0.011704","0.069668","0.787381","0.047427","0.0","0.0","0.0","0.777","0.96","0.091","0.092","0.269"
"['Seventh Son']","0.088025","0.219257","0.107916","0.577279","0.47149","0.0","0.0","0.0","0.632","0.614","0.033","0.155","0.384"
"['The SpongeBob Movie: Sponge Out of Water']","0.104799","0.300479","0.668588","0.044723","0.416634","0.0","0.0","0.0","0.747","0.786","0.309","0.473","0.1"
"['The Voices']","0.163597","0.245142","0.055463","0.213634","0.062316","0.0","0.0","0.71","0.095","0.449","0.958","0.922","0.184"
"['Accidental Love']","0.077391","0.054991","0.932699","0.023615","0.023885","0.0","0.4","0.0","0.175","0.395","0.893","0.679","0.865"
"['Da Sweet Blood of Jesus']","0.028315","0.038229","0.737735","0.359161","0.054602","0.0","0.0","0.025","0.394","0.127","0.911","0.44","0.514"
"['Fifty Shades of Grey']","0.437376","0.640826","0.161702","0.010163","0.374063","0.0","0.79","0.0","0.796","0.319","0.049","0.034","0.853"
"['Kingsman: The Secret Service']","0.378223","0.574004","0.06398","0.057066","0.135457","0.0","0.0","0.834","0.316","0.388","0.595","0.331","0.913"
"['The Secret Service']","0.458434","0.570512","0.773835","0.019771","0.159384","0.0","0.0","0.79","0.491","0.026","0.691","0.133","0.907"
"['The Last 5 Years']","0.768662","0.115006","0.028497","0.231865","0.192438","0.0","0.0","0.936","0.354","0.336","0.136","0.295","0.959"
"['The DUFF']","0.218647","0.075575","0.302002","0.426716","0.071195","0.0","0.0","0.25","0.316","0.518","0.488","0.506","0.774"
"['Hot Tub Time Machine 2']","0.927768","0.030258","0.063543","0.084787","0.09625","0.001","0.005","0.0","0.75","0.674","0.21","0.115","0.499"
"['Hot Tub Time Machine']","0.939992","0.019049","0.098563","0.03015","0.105549","0.001","0.004","0.0","0.762","0.731","0.21","0.14","0.385"
"['McFarland, USA']","0.494444","0.095696","0.232503","0.325805","0.278425","0.0","0.771","0.0","0.286","0.203","0.487","0.458","0.898"
"['Everly']","0.131269","0.126387","0.114686","0.517048","0.310349","0.0","0.905","0.0","0.018","0.342","0.974","0.961","0.525"
"['Focus']","0.128569","0.249151","0.733161","0.036994","0.184311","0.0","0.298","0.0","0.359","0.098","0.479","0.261","0.802"
"['The Lazarus Effect']","0.088596","0.050299","0.554731","0.294669","0.126208","0.801","0.0","0.18","0.443","0.198","0.482","0.347","0.815"
"['Paranormal Activity 4']","0.960186","0.037847","0.018366","0.007754","0.700215","0.0","0.925","0.0","0.654","0.072","0.618","0.109","0.853"
"['Open Grave']","0.062434","0.034979","0.721481","0.073459","0.181379","0.0","0.0","0.917","0.648","0.026","0.564","0.156","0.956"
"['Cold Comes the Night']","0.64411","0.073674","0.092821","0.165492","0.11725","0.365","0.388","0.0","0.493","0.764","0.478","0.468","0.559"
"['Dumbbells']","0.215998","0.458494","0.162374","0.145408","0.142199","0.0","0.0","0.0","0.201","0.001","0.866","0.0","0.984"
"['The Legend of Hercules']","0.119909","0.573443","0.284674","0.25602","0.33849","0.0","0.0","0.322","0.691","0.84","0.706","0.629","0.146"
"['Raze']","0.549711","0.256783","0.268534","0.039558","0.294143","0.427","0.814","0.0","0.626","0.298","0.146","0.232","0.598"
"['Back in the Day']","0.219088","0.091225","0.208","0.105109","0.608042","0.024","0.658","0.0","0.192","0.79","0.792","0.914","0.766"
